fecha,turno,orden_temporal,sabor_original,sabor_normalizado,abierta,celiaca,cerradas,entrantes,total_observado,hoja_origen,fila_origen,notas_lectura
2026-02-01,UNICO,1,CADBURY,CADBURY,6455,,,,6455,Domingo 1,2,
2026-02-01,UNICO,1,AMERICANA,AMERICANA,3305,,6700,,10005,Domingo 1,3,
2026-02-01,UNICO,1,ANANA,ANANA,2965,,6785,,9750,Domingo 1,4,
2026-02-01,UNICO,1,"B, SPLIT","B, SPLIT",,,,,0,Domingo 1,5,ALL_EMPTY
2026-02-01,UNICO,1,BANANITA,BANANITA,2260,,6735,,8995,Domingo 1,6,
2026-02-01,UNICO,1,CHOCOLATE,CHOCOLATE,4115,,6640,,10755,Domingo 1,7,
2026-02-01,UNICO,1,AMARGO,AMARGO,825,,6445,,7270,Domingo 1,8,
2026-02-01,UNICO,1,BLANCO,BLANCO,2045,,6545,,8590,Domingo 1,9,
2026-02-01,UNICO,1,CH C/ALM,CH C/ALM,6440,,6615,,13055,Domingo 1,10,
2026-02-01,UNICO,1,CH AMORES,CH AMORES,1565,,6665|6745,,14975,Domingo 1,11,
2026-02-01,UNICO,1,DOS CORAZONES,DOS CORAZONES,2595,,6535,,9130,Domingo 1,12,
2026-02-01,UNICO,1,CABSHA,CABSHA,5505,,,,5505,Domingo 1,13,
2026-02-01,UNICO,1,COOKIES,COOKIES,2760,,6630,,9390,Domingo 1,14,
2026-02-01,UNICO,1,DULCE C/NUEZ,DULCE C/NUEZ,1345,,6730,,8075,Domingo 1,15,
2026-02-01,UNICO,1,DULCE D LECHE,DULCE D LECHE,4570,,6665|6555,,17790,Domingo 1,16,
2026-02-01,UNICO,1,D. GRANIZADO,D. GRANIZADO,3825,,6545,,10370,Domingo 1,17,
2026-02-01,UNICO,1,DULCE AMORES,DULCE AMORES,5960,,6700,,12660,Domingo 1,18,
2026-02-01,UNICO,1,SUPER,SUPER,5535,,,,5535,Domingo 1,19,
2026-02-01,UNICO,1,DURAZNO,DURAZNO,6740,,6605,,13345,Domingo 1,20,
2026-02-01,UNICO,1,FERRERO,FERRERO,6230,,,,6230,Domingo 1,21,
